"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","testNineKmBig()","","Sun Feb 23 10:30:22 MSK 2025","passed","Sun Feb 23 10:30:22 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testNineKmBig"
"","4","testWorkLoadVeryHigh()","","Sun Feb 23 10:30:22 MSK 2025","passed","Sun Feb 23 10:30:22 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testWorkLoadVeryHigh"
"","3","testWorkLoadHigh()","","Sun Feb 23 10:30:22 MSK 2025","passed","Sun Feb 23 10:30:22 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testWorkLoadHigh"
"","2","testFrigileAndDistanceElevenKm()","","Sun Feb 23 10:30:22 MSK 2025","passed","Sun Feb 23 10:30:22 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testFrigileAndDistanceElevenKm"
"","2","testSmoke()","","Sun Feb 23 10:30:22 MSK 2025","passed","Sun Feb 23 10:30:22 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testSmoke"
"","2","testMore30km()","","Sun Feb 23 10:30:22 MSK 2025","passed","Sun Feb 23 10:30:22 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testMore30km"
"","4","testFrafaleAndLongDistance()","","Sun Feb 23 10:30:22 MSK 2025","passed","Sun Feb 23 10:30:22 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testFrafaleAndLongDistance"
"","1","testWorkLoadIncreased()","","Sun Feb 23 10:30:22 MSK 2025","passed","Sun Feb 23 10:30:22 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testWorkLoadIncreased"
"","49","testCheapest()","","Sun Feb 23 10:30:22 MSK 2025","passed","Sun Feb 23 10:30:22 MSK 2025","","DeliveryCostCalculationTest","DeliveryCostCalculationTest","testCheapest"
